

#--------------------------------------------------------
# 600.--- AVERAGING TIMESTEP ---    0:10: 0   HRS:MIN:SEC AFTER INITIALIZATION 
#-------------------------------------------------------------------------------------------------------------------------------------
#  LEV   HGHT   PRES     THL**2       THV**2         TH**2       QT**2       U*U      V*V     HGHT     W*W     SKEWW     SFS-TKE
#        (M)   (MB)     (--------------(K*K)--------------)     (G/KG)^2     (-(M/S)^2)-)      (M)     (M/S)^2  ()        (M/S)^2
    1      1.56  999.8  0.17042E-05  0.30730E-05  0.17042E-05  0.41428E-04   0.0033   0.0001      0.00   0.0000   0.0000   0.5267
    2      4.69  999.4  0.18167E-05  0.33062E-05  0.18167E-05  0.44568E-04   0.0035   0.0001      3.12   0.0000  -0.3243   0.5165
    3      7.81  999.0  0.18807E-05  0.35219E-05  0.18807E-05  0.48695E-04   0.0039   0.0001      6.25   0.0000  -0.3266   0.4994
    4     10.94  998.6  0.19452E-05  0.37749E-05  0.19452E-05  0.53888E-04   0.0045   0.0001      9.38   0.0000  -0.3311   0.4763
    5     14.06  998.2  0.20681E-05  0.41365E-05  0.20681E-05  0.60455E-04   0.0053   0.0001     12.50   0.0000  -0.3391   0.4477
    6     17.19  997.8  0.23140E-05  0.46886E-05  0.23140E-05  0.68794E-04   0.0064   0.0001     15.62   0.0000  -0.3515   0.4140
    7     20.31  997.4  0.27609E-05  0.55307E-05  0.27609E-05  0.79355E-04   0.0076   0.0002     18.75   0.0000  -0.3686   0.3759
    8     23.44  997.0  0.35134E-05  0.67947E-05  0.35134E-05  0.92667E-04   0.0090   0.0002     21.88   0.0001  -0.3902   0.3346
    9     26.56  996.6  0.47183E-05  0.86653E-05  0.47183E-05  0.10941E-03   0.0104   0.0002     25.00   0.0001  -0.4152   0.2916
   10     29.69  996.2  0.65788E-05  0.11397E-04  0.65788E-05  0.13054E-03   0.0118   0.0003     28.12   0.0001  -0.4416   0.2488
   11     32.81  995.8  0.93424E-05  0.15308E-04  0.93424E-05  0.15737E-03   0.0131   0.0004     31.25   0.0001  -0.4670   0.2081
   12     35.94  995.4  0.13183E-04  0.20657E-04  0.13183E-04  0.19180E-03   0.0142   0.0005     34.38   0.0002  -0.4891   0.1712
   13     39.06  995.0  0.17880E-04  0.27343E-04  0.17880E-04  0.23647E-03   0.0150   0.0006     37.50   0.0003  -0.5059   0.1387
   14     42.19  994.6  0.22805E-04  0.34920E-04  0.22805E-04  0.29485E-03   0.0153   0.0007     40.62   0.0004  -0.5155   0.1108
   15     45.31  994.2  0.27751E-04  0.43399E-04  0.27751E-04  0.37121E-03   0.0150   0.0009     43.75   0.0005  -0.5162   0.0871
   16     48.44  993.8  0.32949E-04  0.53152E-04  0.32949E-04  0.47001E-03   0.0142   0.0010     46.88   0.0006  -0.5059   0.0672
   17     51.56  993.4  0.38371E-04  0.64173E-04  0.38371E-04  0.59398E-03   0.0127   0.0011     50.00   0.0008  -0.4830   0.0510
   18     54.69  993.0  0.43744E-04  0.75906E-04  0.43744E-04  0.73981E-03   0.0108   0.0012     53.12   0.0010  -0.4469   0.0381
   19     57.81  992.6  0.48748E-04  0.87156E-04  0.48748E-04  0.89126E-03   0.0086   0.0013     56.25   0.0012  -0.3996   0.0282
   20     60.94  992.2  0.53102E-04  0.96122E-04  0.53102E-04  0.10161E-02   0.0064   0.0013     59.38   0.0015  -0.3440   0.0208
   21     64.06  991.8  0.56627E-04  0.10089E-03  0.56627E-04  0.10745E-02   0.0044   0.0012     62.50   0.0017  -0.2832   0.0154
   22     67.19  991.4  0.59340E-04  0.10076E-03  0.59340E-04  0.10448E-02   0.0029   0.0010     65.62   0.0020  -0.2210   0.0117
   23     70.31  991.0  0.61460E-04  0.96675E-04  0.61460E-04  0.93672E-03   0.0018   0.0009     68.75   0.0022  -0.1620   0.0091
